genus,sequences,species,accuracy
Bangana,19,2,0.421
Lagocephalus,6,1,0.5
Opsarius,26,2,0.538
Cabdio,9,1,0.556
Acanthocobitis,14,1,0.643
Sphyraena,9,2,0.667
Awaous,27,2,0.704
Planiliza,41,3,0.707
Mesonoemacheilus,7,1,0.714
Anabas,21,2,0.714
Megalaspis,11,1,0.727
Silonia,11,2,0.727
Schizothorax,75,5,0.733
Pseudapocryptes,4,1,0.75
Anodontostoma,4,1,0.75
Crenimugil,4,1,0.75
Oreochromis,67,2,0.761
Hemiramphus,26,4,0.769
Devario,71,3,0.775
Lutjanus,63,12,0.778
Nemacheilus,23,2,0.783
Rasbora,43,2,0.791
Securicula,5,1,0.8
Takifugu,5,1,0.8
Equulites,5,1,0.8
Clupisoma,26,2,0.808
Escualosa,21,1,0.81
Ctenopharyngodon,17,1,0.824
Paracanthocobitis,18,2,0.833
Exyrias,6,1,0.833
Sorsogona,6,1,0.833
Barilius,70,5,0.843
Oligolepis,13,1,0.846
Salmostoma,87,4,0.851
Hypophthalmichthys,28,2,0.857
Photopectoralis,7,1,0.857
Arius,14,2,0.857
Nibea,7,1,0.857
Epinephelus,35,6,0.857
Thryssa,144,13,0.861
Macrognathus,51,3,0.863
Sperata,88,4,0.864
Notopterus,59,2,0.864
Nemipterus,23,4,0.87
Siganus,16,3,0.875
Hyporhamphus,8,1,0.875
Rhabdosargus,8,1,0.875
Saurida,32,4,0.875
Lates,8,1,0.875
Tor,129,4,0.876
Mystus,212,7,0.877
Cirrhinus,100,2,0.88
Cynoglossus,26,3,0.885
Cyprinus,35,1,0.886
Leiognathus,9,1,0.889
Trypauchen,18,1,0.889
Tariqilabeo,38,2,0.895
Labeo,396,11,0.896
Dawkinsia,58,4,0.897
Neolissochilus,98,3,0.898
Puntius,217,11,0.899
Muraenesox,10,1,0.9
Upeneus,52,7,0.904
Lepidocephalichthys,64,2,0.906
Hypselobarbus,107,9,0.907
Pseudorhombus,11,2,0.909
Sillago,33,3,0.909
Eutropiichthys,11,1,0.909
Dussumieria,33,3,0.909
Stolephorus,34,4,0.912
Channa,232,15,0.922
Haludaria,13,1,0.923
Psammogobius,14,1,0.929
Gudusia,14,1,0.929
Ompok,99,4,0.929
Parapsilorhynchus,15,2,0.933
Scomberoides,17,3,0.941
Glyptothorax,35,5,0.943
Parupeneus,18,3,0.944
Clarias,56,2,0.946
Halichoeres,20,4,0.95
Etroplus,20,1,0.95
Pethia,80,5,0.95
Garra,150,7,0.953
Mugil,69,1,0.957
Glossogobius,71,1,0.958
Nematalosa,29,1,0.966
Terapon,31,2,0.968
Osteobrama,70,2,0.971
Gerres,39,5,0.974
Priacanthus,39,2,0.974
Heteropneustes,41,1,0.976
Scomberomorus,53,3,0.981
Schistura,54,7,0.981
Wallago,96,1,0.99
Valenciennea,4,1,1.0
Uroconger,19,1,1.0
Tylosurus,8,1,1.0
Trichogaster,5,1,1.0
Trichiurus,60,1,1.0
Triacanthus,11,1,1.0
Trachinotus,10,2,1.0
Trachinocephalus,4,1,1.0
Thalassoma,4,1,1.0
Tetraroge,5,1,1.0
Tenualosa,13,1,1.0
Anguilla,9,1,1.0
Amphiprion,12,2,1.0
Amblypharyngodon,30,1,1.0
