species,predicted,times
Mystus vittatus,Mystus tengara,12
Labeo bata,Labeo boggut,10
Labeo boggut,Labeo bata,9
Tor tor,Tor putitora,8
Mystus tengara,Mystus vittatus,7
Oreochromis niloticus,Oreochromis mossambicus,6
Neolissochilus hexastichus,Neolissochilus hexagonolepis,6
Devario malabaricus,Devario aequipinnatus,6
Lutjanus fulviflamma,Lutjanus johnii,6
Tor putitora,Tor tor,6
Lutjanus johnii,Lutjanus fulviflamma,5
Notopterus synurus,Notopterus notopterus,5
Puntius chola,Puntius sophore,5
Schizothorax plagiostomus,Schizothorax richardsonii,5
Barilius bendelisis,Opsarius bendelisis,5
